,review_id,text,breakfast/brunch,atmosphere,mexican food,fast food,waiting time,service quality,Japanese food/seafood,pizza/wings,healthy,flavor,bar/alcohol,price,location
48645,PpxyPTxvHj9AL6wfLpB2zA,"This place was horrendous. I wish I could say anything good about it, but I really can't. 
 1. My omelet was tasteless and overcooked. 
 2. My ""polenta"" was congealed glob of flavorless mush. 
 3. They forgot at least one thing from each of our dishes. 
 4. The bread was SO over-buttered that it fell apart when my father and brother were trying to eat their sandwiches.
 

 I will never come back to this establishment again. 
 

 Plus side: The woman was really nice who took our orders, but yuck. Overall yuck.",-1,-1,0,0,0,-1,0,0,0,-1,0,0,0
513640,V38sJ3CEBqYgXnkPNRWvIg,"We made reservations for two on Saturday evening and got seated outside. There was a live jazz trio playing which was a nice surprise. The food was very delicious and flavorful. We ordered the mango lassi, vegetable samosas, paneer makhni, and eggplant koora along with the garlic naan. The paneer makhni was a standout. Excited to come back.",0,1,0,0,0,1,0,0,0,1,0,0,0
135253,zfeJ9HTEuKg7iIScRUHPBQ,"Ate here last night. Very subdued joint, kind of felt like we broke up the party as we entered the restaurant. Plenty of local and IPA options in tap. I chose the buffalo chicken Mac and cheese $ my partner chose the grilled cheese both were tasty and generous portions. We enjoyed it all and had some very attentive service. Would recommend this establishment",0,0,0,0,0,1,0,0,0,1,0,0,0
446415,XE-dp3gIP9KL7OSvR-LE4g,"Strolling past the area, I wanted to get a quick bite to eat and did not want fast food. Although, the last time I ate here, I was not all that impressed. This time, however, proved to be different. I had the fried fish and shrimp with no sides for $11.99. The price was a little more than I expected, especially with no sides, but it was absolutely delicious. It was seasoned perfectly.. My husband had the lasagna, I had a bite of that and it was so good. It was thick, meaty, and flavorful. It put my husband to sleep. Now, that's some good eating. My food experience this time around was much better, I'll definitely be back.",0,0,0,1,1,0,0,0,0,1,0,0,0
504502,Zc3f7a-0Tq6mZRUfqiGEQg,"This adorable ice cream truck is like my dream comes true. This ice cream truck showed up at an outdoor wedding banquet that I went a few months ago. The wedding couple had it there to serve ice cream for their guests. What a lovely idea!
 

 I love the colors and the classy look of the truck. I would say they had a good selection of flavor for the event. Also with the option of cup or waffle cone. Between me and my boyfriend, we tried the dutch chocolate, bourbon pecan, raspberry dream and salted caramel. We like our ice cream rich and creamy and they met our standard. We went back the second time for more. Hehe...",0,0,0,1,0,0,0,0,0,1,0,0,0
308681,C1jL3ZSrUIKekdNZER2p_Q,"Fat Cat is one of those unexpected awesome finds here in Reno. Located under another bar/restaurant, I feel like they get overlooked due to that and to a lot of construction around the building. Fat Cat is tucked away under Rue Bourbon but is one place you NEED to pop by if you haven't. 
 

 I've been in once before and loved it! I had a friend who wanted to go to a happy hour and Fat Cat was perfect for that! I arrived first and the place was a ghost town minus a bartender and a patron. When my friend arrived, the bartender was quick with a suggestion for us drink wise. We both got the 'Frisky Kitty'. This drink is dangerously delicious! I had two during happy hour. 
 

 As we settled in and started to peruse the menu, so many items sounded wonderful. I would easily go back to try more as the appetizers we tried were FABULOUS! My friend and I ended up with the highly recommended Mushroom Gorgonzola fries and the Buffalo Mac n Cheese balls. Both were very rich in flavor. After splitting the two, I felt like I had ordered a whole meal; you certainly get a lot of food! 
 

 The place had a pristine feel to it. There isn't much clutter and this feels like the perfect place to get away from the usual happy hour crowds. Even during dinner service, it still wasn't packed. If you're looking for a place off the beaten path to try, definitely make a stop in to Fat Cat. Both times the waitress/bartender (Aggie?) was there in the afternoon/evening. She greets you with a kind smile and is very welcoming. 
 

 Only downside of the stop was the music was just a little too loud.
 

 I love love LOVE Fat Cat and hope to be in again soon!",0,1,0,1,0,1,0,0,0,1,1,0,0
449595,pcobmYjKKN8WNnAsOnm4Pw,"Ordered 1 sandwich, a drink and a brownie. Showed up 11/2 hours later with a cold sandwich, no brownie and no chips which are supposed. to come with it. Order if you have 11/2 hours to spare for lunch!",0,0,0,-1,-1,0,0,0,0,-1,0,0,0
601384,FmTK8tdJoMso_zn1LBQSxA,"Sooo disappointed with my experience.
 My friend and I planned every moment of our trip to Nashville and we were SO looking forward to going to this restaurant. It just looked so cute being surrounded by the aquarium! I didn't have the highest expectations for the food since it was a restaurant located in a mall but I definitely didn't expect what happened.
 

 I called in about a week in advance to make a reservation and whoever answered the phone wasn't really friendly but I just assumed they were just tired and didn't think much of it.
 

 On the day of, my friend and I actually ended up showing up 10 minutes early and the hostess coldly told us we're too early and to go wait. She was so rude about it, we looked at the watch thinking maybe we had been hours early or something.
 They had live music at the mall right by the restaurant that day, so we just sat there waiting and was seated almost exactly at our reservation time.
 Inside, the restaurant looks really cool. The full aquarium with all the types of fish was really amazing! The server we had was really nice and we were really excited to try everything out.
 

 I ended up ordering the calamari as the appetizer and salmon as my main dish, and got a side of grilled shrimp.
 My friend ordered the ceviche as her appetizer, and then got shrimp tacos as the main dish.
 

 The calamari was really good, no complaints there.
 The ceviche was also mainly really good but the shrimp was incredibly rubbery, to the point we just didn't eat it.
 My friend's fish tacos were okay but again, the shrimp was overcooked. Thankfully, not to the point it was inedible.
 My salmon dish was really good but pretty greasy for some reason, the broccoli I subbed my asparagus for was grossly overcooked to the point it was grainy. The side of shrimp on the other hand, had an odor that threw me off, but I assumed it was the sauce and took a bite. It was so soft and mushy and tasted like........mush. I again thought it was just the sauce and told my friend to try it to see if thought it tasted bad too. She then told me it might be rotten, and I realized SHE WAS TOTALLY RIGHT.
 I then bit the tip of another one and although it wasn't soft like the first, it had the same rancid taste. I asked the waiter to come over and showed him how the first shrimp was mushy and grainy and that it smelled disgusting. He apologized and called the manager over.
 The manager was AWFUL.
 She told me she was sorry it didn't meet my ""expectations"" as if it was just me being picky, and told me it's the sauce on the shrimp that I'm complaining about.
 I got upset and told her it wasn't the sauce unless the sauce is acid that disintegrates the shrimp into mush.
 She rolled her eyes and said she would take it off our bill then.
 UNBELIEVABBLEEEEEE.
 As if it wasn't bad enough, I got food poisoning the next day. I could barely sit up let alone stand up. I thought I might be dying and considered going to the emergency room. In the end I didn't but it was really so awful.
 I was sick for 3 days and even threw up in the TSA line going home.
 I WILL NEVER GO BACK AND NO ONE ELSE SHOULD GO HERE.
 PLEASE. DO NOT COME HERE.
 

 I did end up calling 2 days later and telling them what happened but I made it clear I didn't want anything from them. Tbh I wanted a full refund but I didn't ask for it, because I wanted to make sure they understood how serious I was and not think it was just because I wanted my money back. But, they didn't even offer a refund, so there's that.
 Again, the moral of the story is...DO NOT GO HERE.",0,0,0,0,-1,-1,0,0,0,-1,0,0,1
350657,-nxb5nnc5WaaRXKeL5kzww,"It must have been at least 8 years since I've eaten here. The first time was not memorable and the place was outdated so we never returned. Our friends invited us to dinner tonight and the place looks completely transformed. It looks awesome -- love the flooring, color choices, countertops, etc. The biggest disappointment was still in the food. My husband got the Alfredo pasta and I got the risotto. His tasted like sauce from a can and mine was too hard for risotto. I like al dente as much as the next person but it definitely lacked flavor. I do love the fire cooked shrimp with the heads, I'm the give it to me with all the bones kind of girl. Food always taste better cooked with the skin and bones. 
 

 I can see this place really being a hit, they have the atmosphere down, they just need to work on the food. (Our friend got the tortellini and it was decent.)",0,1,0,0,0,0,0,0,0,-1,0,0,0
317983,-Ry1oFDa6XXdiIt0dycn_w,"Chengdu is definitely out of the way for me, but I was excited to try it anyway as I like sichuan foods. My friends and I ordered the fish fillet in hot sauce, the dan dan noodles, and the wontons in chili oil. I think all of these tasted very good, however the combination of them together was just too much oil, grease, and similar flavor, and we just had to stop eating these dishes at some point. That was our fault for ordering this together. 
 

 We looked for something else that was different. The menu is a little hard to read. It is on a board and kind of disorganized. We decided on a pork stir fry (the exact name escapes me) that looked like it had vegetables in it, something we really wanted after all the oil and spice. The pork stir fry was alright, a bit much on the sweet side.
 

 I think the food is good, but with the way their menu is presented it's hard to know what to order. I would say stop by if you live nearby, but with the atmosphere being fast casual, I'm not sure it's worth it to go out of the way if you live near other awesome sichuan restaurants downtown.",0,1,0,0,0,0,0,0,0,1,0,0,0
